number ,clean_text,airsentiment_line_x,Polarity,Analysis
64,ladygaga carrieunderwood love three really not beat classics,positive,0.6369,Positive
65,flight 0736 dal dca 2 24 2 10pm tried check could not status please,neutral,-0.2411,Neutral
66,heyyyy guyyyys trying get hour someone call please,negative,0.3182,Neutral
67,hi virgin hold 40 50 minutes earlier flights la nyc tonight earlier 11 50pm,negative,0,Neutral
68,congrats winning travelzoo award best deals airline us http co kj1iljaebv,positive,0.9382,Positive
69,everything fine lost bag,negative,-0.128,Neutral
70,virginamerica need change reservation virgin credit card need modify phone waive change fee online,neutral,0.3818,Neutral
71,emailed customer service team let know need tracking number,neutral,0.0772,Neutral
72,hi booked flight need add baggage,neutral,0,Neutral
73,airline awesome lax loft needs step game 40 dirty tables floors http co hy0vrfhjht,negative,0.296,Neutral
74,not worried great ride new plane great crew airlines like,positive,0.6362,Positive
75,awesome flew yall sat morning way correct bill,positive,0.6249,Positive
76,watch best student films country 35 000 feet cmfat35000feet http co kek5pdmgif,neutral,0.6369,Positive
77,first time flying different rate policy media bags thanks,neutral,0.4404,Neutral
78,going customer service anyway speak human asap thank,negative,0.3612,Neutral
79,happened doom,neutral,-0.4019,Neutral
80,not supp biz traveler like customer service like neverflyvirginforbusiness,negative,0.6124,Positive
81,applied member inflight crew team im 100 interested flightattendant dreampath g,positive,0.4019,Neutral
82,best whenever begrudgingly use airline delayed late flight,negative,0.5106,Positive
83,no interesting flying cancelled flight next four flights planned neverflyvirginforbusiness,negative,-0.5037,Negative
84,disappointing experience shared every business traveler meet neverflyvirgin,negative,-0.2023,Neutral
85,trouble adding flight wife booked elevate account help http co px8hqoks3r,negative,0,Neutral
86,ca not bring reservation online using flight booking problems code,neutral,-0.4019,Neutral
87,random q distribution elevate avatars bet kitty disproportionate share http co aptzpurop4,neutral,0.296,Neutral
88,lt 3 flying va life happens trying change trip jperhi help va home page not let,neutral,0.4019,Neutral
89,site back,negative,0,Neutral
90,rnp yeah know,neutral,0.296,Neutral
91,hi not get points elevate account recent flight add flight points account,neutral,0,Neutral
92,like tv interesting video disappointed cancelled flightled flight flights went jfk saturday,negative,0.0258,Neutral
93,landed lax hour no late flight bag check not business travel friendly nomorevirgin,negative,-0.5897,Negative
94,flight 345 redirected,neutral,0,Neutral
95,website btw new website not great user experience time another redesign,negative,-0.5096,Negative
96,not check add bag website not working tried desktop mobile http co avyqdmpi1y,negative,0,Neutral
97,let 2 scanned passengers leave plane told someone remove bag 1st class bin uncomfortable,negative,-0.4215,Neutral
98,virginamerica phone number not find call flight reservation,negative,0.0772,Neutral
99,anyone anything today website useless no one answering phone,negative,-0.6124,Negative
100,trying add boy prince ressie sf thursday lax http co gsb2j3c4gm,neutral,0,Neutral
101,must traveler miss flight late flight check bag missed morning appointments lost business sfo2lax,negative,-0.6249,Negative
102,check new music http co marcnocwzn,neutral,0,Neutral
103,virginamerica direct flight fll gt sfo unexpected layover vegas 4 fuel yet peeps next bought vegas flight sneaky,negative,0.0516,Neutral
104,no late flight bag check lost business missed flight apt three people flight exp,negative,-0.6908,Negative
105,amazing customer service raeann sf best customerservice virginamerica flying,positive,0.8402,Positive
106,called service line hung awesome sarcasm,negative,0.4939,Neutral
107,site tripping trying check getting plain text version reluctant enter card info,negative,-0.25,Neutral
108,scheduled sfo 2 dal flight 714 today changed 24th due weather looks like flight still,neutral,0.3612,Neutral
109,getaway deals may 59 one way lots cool cities http co tzzjhuibch cheapflights farecompare,positive,0.3182,Neutral
110,getaway deals may 59 one way lots cool cities http co rpdbpx3wnd cheapflights farecompare,neutral,0.3182,Neutral
111,getaway deals may 59 one way lots cool cities http co b2xi4yg5t8 cheapflights farecompare,positive,0.3182,Neutral
112,getaway deals may 59 one way lots cool cities http co qdljhsloi5 cheapflights farecompare,neutral,0.3182,Neutral
113,great week,positive,0.6249,Positive
114,come back phl already need take us horrible cold pleasecomeback http co glxfwp6nqh,positive,-0.5423,Negative
115,concerned fly plane needs delayed due tech stop,negative,-0.4767,Neutral
116,best airline flown easy change reservation helpful representatives amp comfortable flying experience,positive,0.9217,Positive
117,another rep kicked butt naelah represents team beautifully thank,positive,0.7351,Positive
118,beautiful front end design right cool still book ticket b c back end secure,positive,0.8225,Positive
119,love team running gate e9 las tonight waited delayed flight kept things entertaining,positive,0.7351,Positive
120,use another browser 2015 amp brand reputation built tech response not cross browser compatible website,negative,0,Neutral
121,flight flight booking problems site totally folks problem,negative,-0.6887,Negative
122,like customer service 40 min delay connecting passengers seems long va370,negative,0.0516,Neutral
123,thanks outstanding nyc jfk crew moved mountains get home san francisco tonight,positive,0.7845,Positive
124,absolute best team customer service ever every time fly delighted thank,positive,0.875,Positive
125,provide complimentary upgrades first class available seats,neutral,0.4404,Neutral
126,need change flight thats scheduled 9 hours 120 min wait time phone im calling intern help,negative,0.4019,Neutral
127,completely awesome experience last month bos las nonstop thanks awesome flight depart time vabeatsjblue,positive,0.908,Positive
128,watch oscars2015 jfk gt sfo flight,neutral,0.2732,Neutral
129,flight 882 cancelled flightled,neutral,-0.25,Neutral
130,failing customers check process not link tsa pre check,negative,-0.5106,Negative
131,fidifamilies us terrible airline gave us hotel hotline number said sorry,negative,-0.4767,Neutral
132,flight number 276 sfo cabo san lucas arrived yet,neutral,0.0772,Neutral
133,chrysichrysic assistance yesterday u cancelled flightled flight give us hotel hotline shame,negative,-0.6249,Negative
134,another delayed flight likingyoulessandless,negative,-0.2263,Neutral
135,need register service dog first class ticket sfo gt dulles phone queue hour longer pls advise,negative,0.34,Neutral
136,virginamerica rock making watch oscars flight redcarpet oscars oscars2015,positive,0,Neutral
137,reallytallchris dropped track https co zv2pt6trk9,neutral,0,Neutral
138,always xoxo,positive,0.6124,Positive
139,not book seats flights buy even check creates much anxiety frustrated,negative,-0.4588,Neutral
140,would think paying extra 100 bucks rt luggage might afford hiring extra hand sfo lame,negative,0.1027,Neutral
141,best customer service rep world irmafromdallas takes cake,positive,0.6369,Positive
142,find us flt lax sooner midnight monday would great customer service,neutral,0.6249,Positive
143,please provide status flight 769 cant imagine time web indicates dude weather dallas,negative,0.3182,Neutral
144,amazing staff amp super helpful ran waltdisneyworld princesshalf spoiled comfort,positive,0.9186,Positive
145,paid premium fly across country cancelled flight flight offer no check fee upgrade love sad face,negative,-0.2732,Neutral
146,question not possible book seat infant 2 not giving option want seat,negative,-0.3089,Neutral
147,always together welcome rt jessicajaymes welcome,positive,0.7184,Positive
148,virginamerica flight home dc sunset globe backtowinter back work refreshed http co vx9vbctdlf,positive,0,Neutral
149,not understand need dm give answer damaged luggage policy,negative,-0.4404,Neutral
150,mean not policy destroyed luggage,negative,0.3875,Neutral
151,special assistance travel alone w 2 kids 1 infant priority boarding,neutral,0.1779,Neutral
152,thank checking tickets purchased customer happy,positive,0.7351,Positive
153,website ever coming back online,neutral,0,Neutral
154,flight 713 love field sfo definitely cancelled flightled monday february 23,neutral,0.7096,Positive
155,flight 0769 lga dfw time,neutral,0,Neutral
156,drivers license expired little month fly friday morning using expired license,neutral,0,Neutral
157,problems flight booking problems web site keeps giving error contact phone phone 30 minute wait,negative,-0.6908,Negative
158,reschedule cancelled flightled flights online change button greyed,negative,-0.25,Neutral
159,rang wait 35 minutes book ticket vendor fix site,negative,0,Neutral
160,got flight told 4 50 today checked email 4 50 tomorrow unacceptable,negative,-0.4588,Neutral
161,flight lga cancelled flighted stuck dallas called reschedule told could get flight today 1 2,negative,-0.4588,Neutral
162,virginamerica not pairings include red wine white offered redwineisbetter,negative,0,Neutral
163,website,negative,0,Neutral
164,site seems little wonked right may want look tried two browsers no css http co 8qsqmm7kf2,negative,-0.2263,Neutral
165,disappointed agent designated silver status check line dulles airport closed assist pasengers,negative,-0.4767,Neutral
166,plans include austin dallas route topnews arab emirates http co aqzwecokk2,neutral,0,Neutral
167,normal receive no reply central baggage baggageissues smh,negative,-0.5423,Negative
168,logan airport waiting checkin 9am flight checkin desk not open,negative,0,Neutral
169,jump dallas austin market dallas news http co ewwgi97gdx,neutral,0,Neutral
170,beats eps views takes southwestair va luv investor business daily http co flwmgdahxu,neutral,0,Neutral
171,lister show monday 1230 130,neutral,0,Neutral
172,begin dallas austin flights april 88 9 ketr http co ssuvwwkyhh,neutral,0,Neutral
173,congrats got business ewr sfo lax fuck fl1289 sfo ewr clincher,negative,-0.0258,Neutral
174,applied 2 weeks ago not heard back flying week disappointed,negative,-0.4767,Neutral
175,would love know policy damaged luggage,neutral,0.3182,Neutral
176,thank follow,positive,0.3612,Neutral
177,many apologies r worse airlines not even respond cudtomers,negative,-0.4767,Neutral
178,shame va making people spend money stranded cities airlines landing jfk reimburse,negative,-0.4767,Neutral
179,ttinac11 dm,neutral,0,Neutral
180,please flights sjc no choice fly southwest vegas,neutral,0.0258,Neutral
181,bad say takes 10 14 days via confirmation email inquired 3 weeks claim 6 8 weeks,negative,-0.5423,Negative
182,flight bos gt las tomorrow cancelled flightled no notification wait times 1 hour rebook another airline,negative,-0.2732,Neutral
183,rt met match got status another airline upgrade restr http co rhkamx9vf5 http co pyalebgkjt,positive,0,Neutral
184,way fly elevate gold,positive,0,Neutral
185,guys flights cmh,neutral,0,Neutral
186,lot apologies thrown customers see sad thanks nothing worst airline ever,negative,0.4756,Neutral
187,flight stuff wrong nothing worst flight ever,negative,0.05,Neutral
188,issue finding missing item plane help find airport plane headed next,neutral,0.128,Neutral
189,match americanairlines status cool,positive,0.3182,Neutral
190,met match got status another airline upgrade http co h952rdktqy asarco es ar,neutral,0,Neutral
191,trying book flight guys website not let lose business,negative,0.3089,Neutral
192,suck,negative,-0.4404,Neutral
193,thanks,positive,0.4404,Neutral
194,dm would issue persisting,negative,0,Neutral
195,never rec would cancelled flightlation notice left w no options fly ps driving la red eye mon w kids,negative,-0.1179,Neutral
196,trying book flight amp site,negative,0,Neutral
197,flights flying boston tomorrow need home cancelled flightled flight not anything,negative,-0.25,Neutral
198,stink flight cancelled flighted psp jfk no notification ability rebook disappointed expected better,negative,-0.7942,Negative
199,love guy song dancing high school dance revue,positive,0.6369,Positive
200,website trying check,negative,0,Neutral
201,done thank quick response apparently faster sitting hold,positive,0.3612,Neutral
202,nervous flight dc lax getting cancelled flightled tomorrow sent dm help,neutral,-0.1027,Neutral
203,cool picture another virginamerica plane wing site http co 5b2agfd8c4,positive,0.3182,Neutral
204,keep great work,positive,0.6249,Positive
205,goodness people love field amazing pressure texas beatstheothers crisis please fly ny,positive,0.7906,Positive
206,thanks great flight la boston pilots great job landing snow go back la seriously,positive,0.886,Positive
207,please get new york area monday afternoon,neutral,0.3182,Neutral
208,thanks much awesome support guys rock,positive,0.8658,Positive
209,seats row 8 not recline mention website soreback,negative,0,Neutral
210,flight 404 delayed 2 hours la due mechanical problems handle like pros could tossed us free drink,negative,0.296,Neutral
211,cancelled flight flights today no precipitation scared,negative,-0.2008,Neutral
212,twitter team guys killed rescheduling asap thank,positive,-0.4588,Neutral
213,guys charged 100 reschedule flight cancelled flighted refusing refund deal,negative,-0.6705,Negative
214,access website safari iphone 6 seems work mac ipad need iphone add passbook,negative,0,Neutral
215,ipad iphone clicking checkin link email received 24hrs flight,neutral,0,Neutral
216,mobile site broken shows header elevateuser numofpointsavailable 0 number points not let checkin,negative,-0.4215,Neutral
217,really looking forward flight let know rescheduled diehardvirgin,negative,0,Neutral
218,cancelled flight flight vx413 one sec delayed airport next cancelled flightled gonna email call reschedule,negative,-0.5994,Negative
219,problem link email check thanks,negative,0.0516,Neutral
220,change another airline get dc today able land dc not cost 800 ugh,negative,0.3252,Neutral
221,looking forward first flight today cancelled flightled along subsequent one,negative,-0.25,Neutral
222,putting great deals pdx las las pdx show love http co eniqg0buzj,positive,0.8519,Positive
223,wish afford fly next friday going back home love everything airline,positive,0.7845,Positive
224,gonna deal dallas dc no deal dc dallas sad,negative,-0.6486,Negative
225,bug report guys,neutral,0,Neutral
226,hold times call center bit much,negative,0,Neutral
227,like http co vpqem31xuq,positive,0.3612,Neutral
228,site help,negative,0.4019,Neutral
229,best flight attendant ever http co pxdel1nq3l,positive,0.6369,Positive
230,awesome rt watch nominated films 35 000 feet meetthefleet oscars http co dnstitrzwy,positive,0.6249,Positive
231,thanks much,positive,0.4404,Neutral
232,trying reset password email never arrives help,negative,-0.3089,Neutral
233,airline based silicon valley disruption fcmostinnovative incubator fastcompany http co wu3lbcncr9,positive,-0.3612,Neutral
234,nicely done,positive,0.4404,Neutral
235,looking forward watching oscars flight home tomorrow might even get something bubbly drink,positive,0,Neutral
236,reason delay departure vx 413 jfk afternoon,negative,-0.3182,Neutral
237,todays flight palm springs ca jfk ny cancelled flightled,negative,-0.25,Neutral
238,hahaha guys amazing love guys,positive,0.9118,Positive
239,sounds like fun,positive,0.7003,Positive
240,updates flight 413 jfk gt lax,neutral,0.2732,Neutral
241,virginamerica spruce moose,neutral,0,Neutral
242,css site 404 right please fix site unusable,negative,0.3182,Neutral
243,flight 910 vegas boston today checked online bag count not register fix somehow,negative,0,Neutral
244,classiq luv virgin america greetingz,positive,0,Neutral
245,hi trying check website not working tried 3 different browsers problem continues,negative,-0.4019,Neutral
246,thanks great customer service today amp helping get travel sorted,positive,0.8481,Positive
247,thanks guys sweet route rockies airplanemodewason,positive,0.7096,Positive
248,love 90s music blasting gate boston waiting flight sanfrancisco could get iced coffee,positive,0.6369,Positive
249,passenger 7d flt 338 assaulted not flown trust banned crew filed report faanews,negative,-0.5606,Negative
250,current bug website shows select departure city selecting destination city http co sllyibe2vq,negative,0,Neutral
251,luggage severely dented missing wheel coming baggage claim san luggage agent miranda think not help,negative,-0.7549,Negative
252,thank easy itinerary shift impending weather quick painless amp free,positive,0.872,Positive
253,would love see girls inspired become pilots rt free woaw event march 2 8 abq http co rfxlv1kgdh,neutral,0.8934,Positive
254,thanks good times back vodkatonics entire flight sfo,positive,0.7003,Positive
255,beats expectations shares take santa cruz sentinel http co qm9dqbai6g,neutral,0.296,Neutral
256,plans start flying direct dal las,neutral,0,Neutral
257,big love gratitude mpower w http co 1agr9kncpf werin oscars2105 vipswagbags avalonhollywood http co ybmbgs0dhn,neutral,0.8176,Positive
258,great job adding little luxuries aesthetics improve air travel experience thank keep,positive,0.8495,Positive
259,requested window seat confirmed window got stuck middle seat not good way treat silver member,negative,-0.6872,Negative
260,grand budapest hotel oscarscountdown,neutral,0.4588,Neutral
261,missed newsvp next trip 407,neutral,-0.296,Neutral
262,wtf paid direct flight purpose not stop fuel exhausted frequent flier nothing inconvenience,negative,0.0793,Neutral
263,something wrong website safari iphone,negative,-0.4767,Neutral
264,thanks gate checking baggage full flight dfw lax 883 giving early boarding sweet,positive,0.8074,Positive
265,already checked page expired x,negative,0,Neutral
266,boo not refunding seat upgrade fee not want buy first place,negative,-0.0572,Neutral
267,shares rise q4 financial results usa today http co lfs4pefe6y,neutral,0.296,Neutral
268,adds pillows instead lie flat seats first class arms race http co rgywjbbhm4,neutral,0,Neutral
269,see,positive,0,Neutral
270,way take advantage mayweatherpacquiao,neutral,0.25,Neutral
271,know flying virgin fight mayweatherpacquiao,neutral,-0.3818,Neutral
272,inflight team makes experience amazing,positive,0.5859,Positive
273,cutest salt pepper shaker ever think guys not get better http co vc6keulg2j,positive,0.3387,Neutral
274,moved seat no notice better seat cabin select not behind row selected disappointed,negative,-0.7721,Negative
275,shares 4q results iol http co xz6qeg3nef,neutral,-0.4404,Neutral
276,fav airline,positive,0.4588,Neutral
277,hot female pilot sweet dca sfo,positive,0.4588,Neutral
278,guys going start flying paris lizautter welcome,neutral,0.4588,Neutral
279,policy flying surgery still waiting answer tell doctor,neutral,0,Neutral
280,already contacted central baggage amp sent dm renttherunway charging dress lost suitcase help,negative,0.1027,Neutral
281,thank,positive,0.3612,Neutral
282,anything going website getting lot errors past 30 minutes,negative,-0.34,Neutral
283,think left something plane yesterday call ah,neutral,0,Neutral
284,need follow back order dm,neutral,0,Neutral
285,need start flying kciairport,neutral,0,Neutral
286,told check airline regulation first contacted,neutral,0,Neutral
287,virginatlantic checked flight sfo lax amp told atlantic flying club gold get no benefits,negative,-0.2924,Neutral
288,husband ordered three drinks via screen never came awesome,negative,-0.5096,Negative
289,soooo guys going leave seatbelt light flight barely call turbulence,negative,-0.0516,Neutral
290,policy flying surgery,neutral,0,Neutral
291,posts second consecutive full year net profit atwonline http co tvb5zbzvhg,neutral,0.4404,Neutral
292,funny story website broken missing javascript stylesheets checkin process dislike,negative,-0.6124,Negative
293,would love virgin like gopro,positive,0.7717,Positive
294,results handily exceed forecasts nytimes http co gonmrwem6i,neutral,0,Neutral
295,applied position flylaxairport wondering guys received application,neutral,0,Neutral
296,achieves second year profitability despite revenue pressure capa aviation http co zsuztnaijq,neutral,0.4567,Neutral
297,gives positive outlook sees increased competition reuters http co jeu7od3eyj,neutral,0.6908,Positive
298,trying check 10 50am ct flight tmm desktop website not working sort caching bug sos,negative,0,Neutral
299,weather delays gt next weeks jfk bos dca,neutral,0.2732,Neutral
300,madbee95 check website go airport,neutral,0,Neutral
301,guys know check links emails broken http co 2npxb6obmr,negative,-0.4767,Neutral
302,pilot says expect choppy landing nyc due gusty winds w temperature 5 degrees amp w windchill 8,neutral,0,Neutral
303,loved ca not wait monday return flight mostly watch inflight safety video sorrynotsorry,positive,0.7717,Positive
304,lost luggage 4 days ago flight vx 112 lax iad amp calling every day no response please give back stuff,negative,-0.6664,Negative
305,flight booking problems section website seems broken chrome might wanna look,negative,-0.7003,Negative
306,hi wanted see new routes planned year newark love flying guys hope,positive,0.7964,Positive
307,mean probably inappropriate board,positive,0,Neutral
308,happy spend day together let,positive,0.5719,Positive
309,saving sanity right http co eltboljul9,neutral,0,Neutral
310,missed flight standby work,neutral,-0.296,Neutral
311,understanding helped thx comps,positive,0.3612,Neutral
312,brought way across country today see http co tkauygcpms,neutral,0,Neutral
313,thank absolutely,positive,0.3612,Neutral
314,virginamerica looks like broken link assets https co oardjjgrrd,negative,0.0258,Neutral
315,ready let say together noooo turbulence today,neutral,0.3612,Neutral
316,virginamerica manage itinerary section website seems broken https co 2pujvcelng,negative,-0.4767,Neutral
317,not check site looks like every time loads http co kacy2awdbw,negative,0.3612,Neutral
318,u help freyabevan fund needs urgent treatment 2y old battling cancer could u help flights freyasfund,neutral,-0.0772,Neutral
319,virginamerica may start service hawaii sanfrancisco year http co ypo7nyprzl biztravel,neutral,0,Neutral
320,virginamerica carriers less half price round trip fare stunned http co ukdjjijrow,negative,-0.1027,Neutral
321,wtf happening pdx late flight march one way sfo 550,negative,-0.5859,Negative
322,add dtw sold,neutral,0,Neutral
323,free drinks flight back free promo,positive,0.765,Positive
324,ssal thanks,positive,0.4404,Neutral
325,momma made,neutral,0,Neutral
326,please contact portfolio left flight vx 27 jfk sfo tonite seat 7am need returned call 914 329 0185,neutral,0.3182,Neutral
327,help flight 27 jkf tonight seat 7c left portfolio need back,neutral,0.4019,Neutral
328,shrinerack seattle bound wifey got duffle vday keeper holla http co jloiblnair,neutral,0,Neutral
329,luggage gone filed paperwork promised call email still no resolution response central luggage,negative,0.0772,Neutral
330,debbie baldwin gave rockstar performance safety demo evening vx919 las2sfo bestcrew sherocks,neutral,0.4215,Neutral
331,thanks,positive,0.4404,Neutral
332,thanks taking care suuperg flight rockstars travel,positive,0.7269,Positive
333,thanks lovely soft views travel san sfo http co cnctl7g1ef,positive,0.7717,Positive
334,requested mileage challenge status several weeks ago online not heard back get help,negative,0.4588,Neutral
335,trying book tickets nyc facing super fun broken styling not worry keep trying,negative,0.7584,Positive
336,many thanks follow ourprincess freyasfund usa bandie looking help http co ujfs9zi6kd,neutral,0.6808,Positive
337,nice lofty view flylaxairport silverstatus http co f4tp0dawbd,neutral,0.4215,Neutral
338,applied status match feb 1 got confirmation email day still no news though guys dropped ball late flightly,negative,-0.296,Neutral
339,new go airline,neutral,0,Neutral
340,virginatlantic gma help ourprincess need help usa http co 778aztdaer,neutral,0.6597,Positive
341,adore looking forward flight austin two weeks,positive,0.5574,Positive
342,glad mentioned took first virgin flight years back transformative experience,positive,0.4588,Neutral
343,flight booking problems flight uphold status match taxes ticket count earned status points statusmatch virginamerica,neutral,-0.4019,Neutral
344,trying check looks like site,negative,0.3612,Neutral
345,spending birthday night dal dca get home,negative,0,Neutral
346,sent couple messages email provided no avail try next year cheers,negative,0.2263,Neutral
347,first time flying virgin went sanfrancisco thanks smooth ride easily new fav airline,positive,0.8074,Positive
348,seriously though not direct flights sfo fll may,negative,-0.1779,Neutral
349,fine already done purchase try go way go back 3,negative,0.2023,Neutral
350,virginamerica not really experience hoping 4 ws forced 2 check small carry w nothing empty cabin space board,negative,-0.6054,Negative
351,wjere luggage slow lax,negative,0,Neutral
352,jump dallas austin market http co szr0pioa21,neutral,0,Neutral
353,spoke representative offered no solution loyal customer flies virginatlantic well,negative,-0.3434,Neutral
354,deeply disappointed birthday promo not applied trip booked mere days received email,negative,-0.5256,Negative
355,happened direct flights sfo fll looking may see connecting help dontdothistome,negative,0.4019,Neutral
356,virginamerica help left blazer kooples jacket bag 3rd row second seat right gate 36 t3 lax flight sfo,neutral,0.4019,Neutral
357,partners visa checkout mobile payment method help boost mobile conversion rates etailwest payments visa,neutral,0.6597,Positive
358,promoting product problem southwest recommend noneother best http co tfanxbh1cf,positive,0.7579,Positive
359,love guys pls get direct routes las aus,positive,0.6705,Positive
360,would like help flights please,neutral,0.7579,Positive
361,bruh giannilee turn vxsafetydance,neutral,0,Neutral
362,course work virginatlantic obsessed entire virgin family,positive,-0.1779,Neutral
363,ok first time flying tonight,positive,0.296,Neutral
364,virginamerica digging swanky pink mood lighting flight nyc sfo needs cabaret singer think,neutral,0,Neutral
365,done need receipt asap could please help 150219 000114,neutral,0.6124,Positive
366,2d 3d embossed badges patches superior ones currently using http co 3fq3xelbon,negative,0.5423,Positive
367,vx399 jfk la dirty plane not standards,negative,-0.4404,Neutral
368,flight vx399 headed la jfk dirtiest va plane ever sad great airline,negative,-0.34,Neutral
369,got squared away someone picked soon tweeted tweeted sooner,positive,0,Neutral
370,avis rental continue button not work website book car tried 4 times phone sucks,negative,-0.3612,Neutral
371,delayed to10 30,negative,-0.2263,Neutral
372,currently minute 10 hold cust service need anything add lap child reservation,negative,0,Neutral
373,adds pillows instead lie flat seats first class arms race http co sfjduahx9z skift,neutral,0,Neutral
374,karinslee course fun celebrating thanks happy chinese new year,positive,0.9274,Positive
375,flight booking problems last second flight next week sfo san chance want gift promo code since love guys,positive,0.7717,Positive
376,comenity bank joke please change nothing constant problems bank,negative,0.6964,Positive
377,dm u also add,neutral,0,Neutral
378,grandma ella 80th would lt 3 bday greeting flight crew stewardess eastern airlines,positive,0.3818,Neutral
379,bought tix atx dallas route thanks adding love yr airline amp yr website best transactional site ever,positive,0.9062,Positive
380,anytime sugafly,neutral,0,Neutral
381,gave credit late flight flight yesterday great service wow moment unexpected gesture,positive,0.8885,Positive
382,need receipt flight change send one,neutral,0,Neutral
383,submitted status match request back still heard flying monday look accelerate,negative,0,Neutral
384,safety video http co cqmm7nue9m loved first cross country flight livewelltraveled sytycd,positive,0.7717,Positive
385,not look fat looks yummy,positive,0.5267,Positive
386,ceo says southwest amp jetblue strayed low cost model http co 96sctomh29,neutral,-0.2732,Neutral
